"FIPS","MetricYear","Prsns_25plus","Prsns_less_HS","Prsns_HS_or_More","Prsns_4plus_Yrs_Clg","HH_INC_Under_10K","HH_INC__10K_to_14999","HH_INC__15K_to_24999","HH_INC__25K_to_49999","HH_INC__50K_to_99999","HH_INC__100000_Plus","Hhld_SSI","Tot_Civ_Lbr","Emplyd_Civ_Lbr","Unemplyd_Civ_Lbr","N_AgrFrstFishHuntMine_Wkrs","N_Construction_Wrkrs","N_EducHlthCreSocAsst_Wrkrs","N_Manufacturing_Wrkrs","N_Othr_Ind","P_AgrFrstFishHuntMine_Wkrs","P_Construction_Wrkrs","P_EducHlthCreSocAsst_Wrkrs","P_Manufacturing_Wrkrs","P_Othr_Ind","Num_Wrkrs_Priv","Num_Wrkrs_Govt","Num_Wrkrs_Fed","Num_Wrkrs_State","Num_Wrkrs_Local","Num_Wrkrs_Selfemplyd","Num_Wrks_16_Plus","Num_Unpaid_Fam_Wrkrs","Tot_Civ_Lbr (#1)","Emplyd_Civ_Lbr (#1)","Unemplyd_Civ_Lbr (#1)","FEM_Civ_Lbr","Emplyd_FEM_Civ_Lbr","Unemplyd_FEM_Civ_Lbr","P_Prsns_Below_Pov","N_Prsns_Below_Pov","Hhld_PUB_Asst","Prsns_25plus (#1)","Prns_INC_POV_Less_50P","Prns_INC_POV_50P_to_99P","Prns_INC_POV_100P_to_124P","Prns_INC_POV_125P_to_149P","Prns_INC_POV_150P_to_184P","Prns_INC_POV_185P_to_199P","Prns_INC_POV_200P_Plus"
21001,2010,12293.5,3461,8832.5,1967,1009.5,772,1269.5,1434.5,1616.5,866.5,810.5,8082.5,7268,814.5,248,423.5,2254,1479,3611,3.4499999999999993,5.999999999999999,21.199999999999996,20.25,49.099999999999994,5371,924,110.5,417.5,396,961.5,7268,11.5,8082.5,7268,814.5,3959.5,3548,411.5,21.750000000000004,3682.5,114,,1450,2232.5,910.5,907.5,1527,-125,9960.5
21001,2011,12407,3362,9045,1980,981,746,1228,1557,1664,819,782,8169,7412,757,249,490,2254,1495,3522,3.3999999999999995,6.699999999999999,22.599999999999998,20.1,47.199999999999996,5481,992,104,481,407,928,7412,11,8169,7412,757,3959,3588,371,21.700000000000003,3718,122,,1388,2330,941,990,1609,26,9799
21001,2012,12520.5,3263,9257.5,1993,952.5,720,1186.5,1679.5,1711.5,771.5,753.5,8255.5,7556,699.5,250,556.5,2254,1511,3433,3.3499999999999996,7.3999999999999995,24,19.950000000000003,45.3,5591,1060,97.5,544.5,418,894.5,7556,10.5,8255.5,7556,699.5,3958.5,3628,330.5,21.650000000000002,3753.5,130,,1326,2427.5,971.5,1072.5,1691,177,9637.5
21001,2013,12634,3164,9470,2006,924,694,1145,1802,1759,724,725,8342,7700,642,251,623,2254,1527,3344,3.3,8.1,25.4,19.8,43.4,5701,1128,91,608,429,861,7700,10,8342,7700,642,3958,3668,290,21.6,3789,138,,1264,2525,1002,1155,1773,328,9476
21001,2014,12747.5,3065,9682.5,2019,895.5,668,1103.5,1924.5,1806.5,676.5,696.5,8428.5,7844,584.5,252,689.5,2254,1543,3255,3.25,8.8,26.799999999999997,19.65,41.5,5811,1196,84.5,671.5,440,827.5,7844,9.5,8428.5,7844,584.5,3957.5,3708,249.5,21.55,3824.5,146,,1202,2622.5,1032.5,1237.5,1855,479,9314.5
21001,2015,12861,2966,9895,2032,867,642,1062,2047,1854,629,668,8515,7988,527,253,756,2254,1559,3166,3.2,9.5,28.2,19.5,39.6,5921,1264,78,735,451,794,7988,9,8515,7988,527,3957,3748,209,21.5,3860,154,,1140,2720,1063,1320,1937,630,9153
21001,2016,12974.5,2867,10107.5,2045,838.5,616,1020.5,2169.5,1901.5,581.5,639.5,8601.5,8132,469.5,254,822.5,2254,1575,3077,3.1500000000000004,10.2,29.6,19.35,37.7,6031,1332,71.5,798.5,462,760.5,8132,8.5,8601.5,8132,469.5,3956.5,3788,168.5,21.45,3895.5,162,,1078,2817.5,1093.5,1402.5,2019,781,8991.5
21001,2017,13088,2768,10320,2058,810,590,979,2292,1949,534,611,8688,8276,412,255,889,2254,1591,2988,3.1000000000000005,10.9,31,19.2,35.800000000000004,6141,1400,65,862,473,727,8276,8,8688,8276,412,3956,3828,128,21.4,3931,170,,1016,2915,1124,1485,2101,932,8830
21001,2018,13201.5,2669,10532.5,2071,781.5,564,937.5,2414.5,1996.5,486.5,582.5,8774.5,8420,354.5,256,955.5,2254,1607,2899,3.0500000000000007,11.600000000000001,32.4,19.049999999999997,33.900000000000006,6251,1468,58.5,925.5,484,693.5,8420,7.5,8774.5,8420,354.5,3955.5,3868,87.5,21.349999999999998,3966.5,178,,954,3012.5,1154.5,1567.5,2183,1083,8668.5
21003,2010,13200.5,3388,9812.5,1615.5,1092.5,664.5,825,1961,2466.5,868,487,9917,8775.5,1141.5,586,536.5,1720,1834,4271.5,6.800000000000001,5.950000000000001,17.650000000000006,21,48.849999999999994,6872,1037.5,112,494.5,431,793.5,8775.5,72.5,9917,8775.5,1141.5,4539.5,3895,644.5,12.999999999999998,2533,202.5,,577,1956,548,2396.5,1332,489,12278
