State,State_Abbr,County,FIPS_State,FIPS_County,Year,Population,Pop_Total_Male,Pop_Total_Female,Percent_Male,Percent_Female
Kentucky,KY,Adair,21,1,2015,19298,9418,9609,0.488029848,0.497927246
Kentucky,KY,Allen,21,3,2015,20662,10161,10479,0.491772336,0.507162908
Kentucky,KY,Anderson,21,5,2015,21865,10750,11229,0.491653327,0.513560485
Kentucky,KY,Ballard,21,7,2015,8217,4052,4160,0.493124011,0.506267494
Kentucky,KY,Barren,21,9,2015,43549,21162,22408,0.485935383,0.514546832
Kentucky,KY,Bath,21,11,2015,12194,6072,6156,0.497949811,0.504838445
Kentucky,KY,Bell,21,13,2015,27379,13374,13963,0.48847657,0.509989408
Kentucky,KY,Boone,21,15,2015,127793,63205,64507,0.494588906,0.504777257
Kentucky,KY,Bourbon,21,17,2015,20093,9789,10327,0.487184592,0.513960086
Kentucky,KY,Boyd,21,19,2015,48507,24051,24274,0.495825345,0.500422619
Kentucky,KY,Boyle,21,21,2015,29714,14953,14856,0.5032308,0.499966346
Kentucky,KY,Bracken,21,23,2015,8278,4155,4166,0.501932834,0.503261657
Kentucky,KY,Breathitt,21,25,2015,13361,6763,6721,0.506174688,0.50303121
Kentucky,KY,Breckinridge,21,27,2015,19971,10019,9999,0.501677432,0.50067598
Kentucky,KY,Bullitt,21,29,2015,78707,38902,39800,0.494263534,0.505672939
Kentucky,KY,Butler,21,31,2015,12723,6425,6513,0.504990961,0.511907569
Kentucky,KY,Caldwell,21,33,2015,12747,6130,6551,0.480897466,0.513924845
Kentucky,KY,Calloway,21,35,2015,38642,18531,19812,0.479555924,0.512706382
Kentucky,KY,Campbell,21,37,2015,91906,45300,46766,0.492894914,0.508845995
Kentucky,KY,Carlisle,21,39,2015,4860,2378,2496,0.489300412,0.513580247
Kentucky,KY,Carroll,21,41,2015,10654,5350,5349,0.502158814,0.502064952
Kentucky,KY,Carter,21,43,2015,27436,13363,13795,0.487060796,0.502806532
Kentucky,KY,Casey,21,45,2015,15737,7681,8127,0.488085404,0.516426257
Kentucky,KY,Christian,21,47,2015,73095,38814,34495,0.531007593,0.471920104
Kentucky,KY,Clark,21,49,2015,35666,17383,18374,0.487382942,0.515168508
Kentucky,KY,Clay,21,51,2015,20990,11102,9911,0.528918533,0.472177227
Kentucky,KY,Clinton,21,53,2015,10177,5058,5116,0.497003046,0.502702172
Kentucky,KY,Crittenden,21,55,2015,9170,4627,4556,0.504580153,0.496837514
Kentucky,KY,Cumberland,21,57,2015,6748,3284,3475,0.486662715,0.514967398
Kentucky,KY,Daviess,21,59,2015,99364,48163,51096,0.484712773,0.514230506
Kentucky,KY,Edmonson,21,61,2015,11986,6011,5996,0.501501752,0.500250292
Kentucky,KY,Elliott,21,63,2015,7548,4302,3346,0.569952305,0.443296237
Kentucky,KY,Estill,21,65,2015,14370,7108,7267,0.494641615,0.505706333
Kentucky,KY,Fayette,21,67,2015,315055,154579,159909,0.490641317,0.507558998
Kentucky,KY,Fleming,21,69,2015,14588,7227,7410,0.495407184,0.507951741
Kentucky,KY,Floyd,21,71,2015,37529,18389,19367,0.489994404,0.516054251
Kentucky,KY,Franklin,21,73,2015,50008,24288,26087,0.485682291,0.521656535
Kentucky,KY,Fulton,21,75,2015,6269,3100,3138,0.49449673,0.500558303
Kentucky,KY,Gallatin,21,77,2015,8591,4381,4255,0.509952276,0.495285764
Kentucky,KY,Garrard,21,79,2015,17219,8482,8755,0.492595389,0.508449968
Kentucky,KY,Grant,21,81,2015,24734,12380,12377,0.500525592,0.500404302
Kentucky,KY,Graves,21,83,2015,37165,18311,19110,0.49269474,0.514193462
Kentucky,KY,Grayson,21,85,2015,26130,13187,13034,0.504668963,0.498813624
Kentucky,KY,Green,21,87,2015,10970,5419,5591,0.493983592,0.509662717
Kentucky,KY,Greenup,21,89,2015,35982,17504,18564,0.486465455,0.515924629
Kentucky,KY,Hancock,21,91,2015,8645,4470,4222,0.517061886,0.488374783
Kentucky,KY,Hardin,21,93,2015,106224,53193,53246,0.50076254,0.501261485
Kentucky,KY,Harlan,21,95,2015,27507,13463,14240,0.489439052,0.517686407
Kentucky,KY,Harrison,21,97,2015,18636,9218,9545,0.494634042,0.512180726
Kentucky,KY,Hart,21,99,2015,18404,9142,9312,0.496739839,0.505976962
Kentucky,KY,Henderson,21,101,2015,46365,22499,23908,0.485258277,0.515647579
Kentucky,KY,Henry,21,103,2015,15566,7747,7873,0.497687267,0.505781832
Kentucky,KY,Hickman,21,105,2015,4608,2184,2428,0.473958333,0.526909722
Kentucky,KY,Hopkins,21,107,2015,46067,22519,23703,0.488831485,0.51453318
Kentucky,KY,Jackson,21,109,2015,13330,6637,6715,0.497899475,0.503750938
Kentucky,KY,Jefferson,21,111,2015,764341,368738,394885,0.482426038,0.516634591
Kentucky,KY,Jessamine,21,113,2015,51788,25218,26743,0.486946783,0.516393759
Kentucky,KY,Johnson,21,115,2015,23137,11386,11789,0.492112201,0.50953019
Kentucky,KY,Kenton,21,117,2015,164084,81567,83445,0.497105141,0.508550499
Kentucky,KY,Knott,21,119,2015,15657,7806,7887,0.498562943,0.503736348
Kentucky,KY,Knox,21,121,2015,31404,15458,16272,0.492230289,0.518150554
Kentucky,KY,Larue,21,123,2015,14122,7039,7202,0.498442147,0.509984422
Kentucky,KY,Laurel,21,125,2015,59870,29400,30694,0.491063972,0.512677468
Kentucky,KY,Lawrence,21,127,2015,15862,7886,7859,0.497163031,0.49546085
Kentucky,KY,Lee,21,129,2015,6740,3401,3351,0.504599407,0.497181009
Kentucky,KY,Leslie,21,131,2015,10646,5275,5436,0.495491264,0.510614315
Kentucky,KY,Letcher,21,133,2015,23055,11348,11775,0.49221427,0.510735198
Kentucky,KY,Lewis,21,135,2015,13586,6801,6881,0.500588842,0.506477256
Kentucky,KY,Lincoln,21,137,2015,24360,11965,12498,0.491174056,0.513054187
Kentucky,KY,Livingston,21,139,2015,9295,4570,4746,0.491662184,0.510597095
Kentucky,KY,Logan,21,141,2015,26737,13184,13726,0.49309945,0.513370984
Kentucky,KY,Lyon,21,143,2015,8310,4639,3667,0.558243081,0.441275572
Kentucky,KY,Madison,21,151,2015,88156,42523,45301,0.482360815,0.513873134
Kentucky,KY,Magoffin,21,153,2015,12779,6437,6371,0.503717036,0.498552312
Kentucky,KY,Marion,21,155,2015,19191,9655,9710,0.503100412,0.505966338
Kentucky,KY,Marshall,21,157,2015,31045,15275,15826,0.492027702,0.509776131
Kentucky,KY,Martin,21,159,2015,12297,6883,5424,0.559730016,0.441083191
Kentucky,KY,Mason,21,161,2015,17036,8276,8823,0.485794788,0.517903264
Kentucky,KY,McCracken,21,145,2015,64976,31194,33824,0.480084954,0.520561438
Kentucky,KY,McCreary,21,147,2015,17868,9814,8064,0.549250056,0.451309604
Kentucky,KY,McLean,21,149,2015,9399,4720,4792,0.502181083,0.509841473
Kentucky,KY,Meade,21,163,2015,27749,13920,14004,0.501639699,0.504666835
Kentucky,KY,Menifee,21,165,2015,6367,3207,3151,0.503690906,0.494895555
Kentucky,KY,Mercer,21,167,2015,21370,10507,10900,0.491670566,0.510060833
Kentucky,KY,Metcalfe,21,169,2015,9908,4892,5017,0.49374243,0.506358498
Kentucky,KY,Monroe,21,171,2015,10617,5311,5356,0.500235471,0.504473957
Kentucky,KY,Montgomery,21,173,2015,27569,13427,14181,0.487032537,0.514382096
Kentucky,KY,Morgan,21,175,2015,13262,7470,5805,0.56326346,0.437716785
Kentucky,KY,Muhlenberg,21,177,2015,31248,15863,15320,0.50764849,0.490271377
Kentucky,KY,Nelson,21,179,2015,45103,22201,22925,0.492228898,0.508281046
Kentucky,KY,Nicholas,21,181,2015,7058,3525,3606,0.499433267,0.510909606
Kentucky,KY,Ohio,21,183,2015,24027,12147,12069,0.505556249,0.502309901
Kentucky,KY,Oldham,21,185,2015,64496,34428,30447,0.533800546,0.472075788
Kentucky,KY,Owen,21,187,2015,10724,5341,5389,0.498041776,0.502517717
Kentucky,KY,Owsley,21,189,2015,4447,2171,2290,0.488194288,0.514953902
Kentucky,KY,Pendleton,21,191,2015,14475,7281,7127,0.503005181,0.492366149
Kentucky,KY,Perry,21,193,2015,27357,13620,13945,0.497861608,0.509741565
Kentucky,KY,Pike,21,195,2015,61803,30250,31542,0.489458441,0.510363575
Kentucky,KY,Powell,21,197,2015,12236,6063,6206,0.495505067,0.507191893
Kentucky,KY,Pulaski,21,199,2015,63827,31129,32653,0.487708963,0.511586006
Kentucky,KY,Robertson,21,201,2015,2135,1122,1016,0.525526932,0.47587822
Kentucky,KY,Rockcastle,21,203,2015,16933,8263,8679,0.487982047,0.51254946
Kentucky,KY,Rowan,21,205,2015,24604,11681,12211,0.474760202,0.496301414
Kentucky,KY,Russell,21,207,2015,17657,8626,9036,0.488531461,0.511751713
Kentucky,KY,Scott,21,209,2015,52120,25769,26651,0.494416731,0.511339217
Kentucky,KY,Shelby,21,211,2015,45752,22191,23441,0.485027977,0.512349187
Kentucky,KY,Simpson,21,213,2015,17874,8816,9190,0.493230391,0.514154638
Kentucky,KY,Spencer,21,215,2015,17984,9041,8853,0.502724644,0.492270908
Kentucky,KY,Taylor,21,217,2015,25601,12293,13127,0.480176556,0.512753408
Kentucky,KY,Todd,21,219,2015,12420,6245,6286,0.502818035,0.506119163
Kentucky,KY,Trigg,21,221,2015,14228,6976,7257,0.490300815,0.510050604
Kentucky,KY,Trimble,21,223,2015,8744,4405,4364,0.503774017,0.499085087
Kentucky,KY,Union,21,225,2015,14966,7870,7180,0.525858613,0.479754109
Kentucky,KY,Warren,21,227,2015,123737,60057,62794,0.485360078,0.507479574
Kentucky,KY,Washington,21,229,2015,12008,5899,6164,0.491255829,0.51332445
