"FIPS","COUNTY","YEAR","Variable","ColumnValues","Iteration"
"21001","Adair","2010","CMHC",0,1
"21001","Adair","2010","FQHC",2,2
"21001","Adair","2010","NP",15,3
"21001","Adair","2010","PA",0,4
"21001","Adair","2010","PCP",8,5
"21001","Adair","2011","CMHC",0,1
"21001","Adair","2011","FQHC",2,2
"21001","Adair","2011","NP",13,3
"21001","Adair","2011","PA",0,4
"21001","Adair","2011","PCP",7,5
"21001","Adair","2012","CMHC",0,1
"21001","Adair","2012","FQHC",2,2
"21001","Adair","2012","NP",12,3
"21001","Adair","2012","PA",0,4
"21001","Adair","2012","PCP",7,5
"21001","Adair","2013","CHC",1,0
"21001","Adair","2013","CMHC",0,1
"21001","Adair","2013","FQHC",2,2
"21001","Adair","2013","NP",14,3
"21001","Adair","2013","PA",0,4
"21001","Adair","2013","PCP",7,5
"21001","Adair","2014","CHC",1,0
"21001","Adair","2014","CMHC",0,1
"21001","Adair","2014","FQHC",2,2
"21001","Adair","2014","NP",12,3
"21001","Adair","2014","PA",0,4
"21001","Adair","2014","PCP",7,5
"21001","Adair","2015","CHC",1,0
"21001","Adair","2015","CMHC",0,1
"21001","Adair","2015","FQHC",2,2
"21001","Adair","2015","NP",11,3
"21001","Adair","2015","PA",0,4
"21001","Adair","2015","PCP",5,5
"21001","Adair","2016","CHC",5,0
"21001","Adair","2016","CMHC",0,1
"21001","Adair","2016","FQHC",7,2
"21001","Adair","2016","NP",12,3
"21001","Adair","2016","PA",0,4
"21001","Adair","2016","PCP",7,5
"21001","Adair","2017","CHC",5,0
"21001","Adair","2017","CMHC",0,1
"21001","Adair","2017","FQHC",7,2
"21001","Adair","2017","NP",13,3
"21001","Adair","2017","PA",0,4
"21001","Adair","2017","PCP",7,5
"21001","Adair","2018","CHC",6,0
"21001","Adair","2018","CMHC",0,1
"21001","Adair","2018","FQHC",8,2
"21001","Adair","2018","NP",17,3
"21001","Adair","2018","PA",0,4
"21001","Adair","2018","PCP",7,5
"21001","Adair","2019","CHC",6,0
"21001","Adair","2019","CMHC",0,1
"21001","Adair","2019","FQHC",8,2
"21001","Adair","2019","NP",19,3
"21001","Adair","2019","PA",0,4
"21001","Adair","2020","CHC",6,0
"21003","Allen","2010","CMHC",0,1
"21003","Allen","2010","FQHC",0,2
"21003","Allen","2010","NP",4,3
"21003","Allen","2010","PA",0,4
"21003","Allen","2010","PCP",3,5
"21003","Allen","2011","CMHC",0,1
"21003","Allen","2011","FQHC",0,2
"21003","Allen","2011","NP",5,3
"21003","Allen","2011","PA",0,4
"21003","Allen","2011","PCP",3,5
"21003","Allen","2012","CMHC",0,1
"21003","Allen","2012","FQHC",0,2
"21003","Allen","2012","NP",5,3
"21003","Allen","2012","PA",0,4
"21003","Allen","2012","PCP",2,5
"21003","Allen","2013","CHC",0,0
"21003","Allen","2013","CMHC",0,1
"21003","Allen","2013","FQHC",0,2
"21003","Allen","2013","NP",4,3
"21003","Allen","2013","PA",0,4
"21003","Allen","2013","PCP",2,5
"21003","Allen","2014","CHC",0,0
"21003","Allen","2014","CMHC",0,1
"21003","Allen","2014","FQHC",0,2
"21003","Allen","2014","NP",6,3
"21003","Allen","2014","PA",0,4
"21003","Allen","2014","PCP",3,5
"21003","Allen","2015","CHC",0,0
"21003","Allen","2015","CMHC",0,1
"21003","Allen","2015","FQHC",0,2
"21003","Allen","2015","NP",8,3
"21003","Allen","2015","PA",0,4
"21003","Allen","2015","PCP",2,5
"21003","Allen","2016","CHC",0,0
"21003","Allen","2016","CMHC",0,1
"21003","Allen","2016","FQHC",0,2
"21003","Allen","2016","NP",7,3
"21003","Allen","2016","PA",0,4
"21003","Allen","2016","PCP",3,5
"21003","Allen","2017","CHC",0,0
"21003","Allen","2017","CMHC",0,1
"21003","Allen","2017","FQHC",0,2
"21003","Allen","2017","NP",7,3
"21003","Allen","2017","PA",0,4
"21003","Allen","2017","PCP",3,5
"21003","Allen","2018","CHC",0,0
"21003","Allen","2018","CMHC",0,1
"21003","Allen","2018","FQHC",0,2
"21003","Allen","2018","NP",7,3
"21003","Allen","2018","PA",0,4
"21003","Allen","2018","PCP",3,5
"21003","Allen","2019","CHC",0,0
"21003","Allen","2019","CMHC",0,1
"21003","Allen","2019","FQHC",0,2
"21003","Allen","2019","NP",7,3
"21003","Allen","2019","PA",0,4
"21003","Allen","2020","CHC",0,0
"21005","Anderson","2010","CMHC",0,1
"21005","Anderson","2010","FQHC",0,2
"21005","Anderson","2010","NP",3,3
"21005","Anderson","2010","PA",4,4
"21005","Anderson","2010","PCP",9,5
"21005","Anderson","2011","CMHC",0,1
"21005","Anderson","2011","FQHC",0,2
"21005","Anderson","2011","NP",4,3
"21005","Anderson","2011","PA",3,4
"21005","Anderson","2011","PCP",9,5
"21005","Anderson","2012","CMHC",0,1
"21005","Anderson","2012","FQHC",0,2
"21005","Anderson","2012","NP",4,3
"21005","Anderson","2012","PA",3,4
"21005","Anderson","2012","PCP",8,5
"21005","Anderson","2013","CHC",0,0
"21005","Anderson","2013","CMHC",0,1
"21005","Anderson","2013","FQHC",0,2
"21005","Anderson","2013","NP",4,3
"21005","Anderson","2013","PA",3,4
"21005","Anderson","2013","PCP",7,5
"21005","Anderson","2014","CHC",1,0
"21005","Anderson","2014","CMHC",0,1
"21005","Anderson","2014","FQHC",0,2
"21005","Anderson","2014","NP",4,3
"21005","Anderson","2014","PA",3,4
"21005","Anderson","2014","PCP",7,5
"21005","Anderson","2015","CHC",1,0
"21005","Anderson","2015","CMHC",0,1
"21005","Anderson","2015","FQHC",0,2
"21005","Anderson","2015","NP",6,3
"21005","Anderson","2015","PA",2,4
"21005","Anderson","2015","PCP",7,5
"21005","Anderson","2016","CHC",1,0
"21005","Anderson","2016","CMHC",0,1
"21005","Anderson","2016","FQHC",7,2
"21005","Anderson","2016","NP",7,3
"21005","Anderson","2016","PA",2,4
"21005","Anderson","2016","PCP",7,5
"21005","Anderson","2017","CHC",7,0
"21005","Anderson","2017","CMHC",0,1
"21005","Anderson","2017","FQHC",7,2
"21005","Anderson","2017","NP",8,3
"21005","Anderson","2017","PA",2,4
"21005","Anderson","2017","PCP",6,5
"21005","Anderson","2018","CHC",7,0
"21005","Anderson","2018","CMHC",0,1
"21005","Anderson","2018","FQHC",7,2
"21005","Anderson","2018","NP",11,3
"21005","Anderson","2018","PA",2,4
"21005","Anderson","2018","PCP",6,5
"21005","Anderson","2019","CHC",7,0
"21005","Anderson","2019","CMHC",0,1
"21005","Anderson","2019","FQHC",7,2
"21005","Anderson","2019","NP",12,3
"21005","Anderson","2019","PA",2,4
"21005","Anderson","2020","CHC",7,0
"21007","Ballard","2010","CMHC",0,1
"21007","Ballard","2010","FQHC",0,2
"21007","Ballard","2010","NP",1,3
"21007","Ballard","2010","PA",1,4
"21007","Ballard","2010","PCP",1,5
"21007","Ballard","2011","CMHC",0,1
"21007","Ballard","2011","FQHC",0,2
"21007","Ballard","2011","NP",1,3
"21007","Ballard","2011","PA",1,4
"21007","Ballard","2011","PCP",1,5
"21007","Ballard","2012","CMHC",0,1
"21007","Ballard","2012","FQHC",0,2
"21007","Ballard","2012","NP",1,3
"21007","Ballard","2012","PA",1,4
"21007","Ballard","2012","PCP",2,5
"21007","Ballard","2013","CHC",0,0
"21007","Ballard","2013","CMHC",0,1
"21007","Ballard","2013","FQHC",0,2
"21007","Ballard","2013","NP",1,3
"21007","Ballard","2013","PA",1,4
"21007","Ballard","2013","PCP",1,5
"21007","Ballard","2014","CHC",0,0
"21007","Ballard","2014","CMHC",0,1
"21007","Ballard","2014","FQHC",0,2
"21007","Ballard","2014","NP",1,3
