DHHS_COUNTY_CODE,COUNTY_NAME,ADD_REGION,COUNTY_FIPS,MED_REGION,MED_REGION_DESC,RUC_LEVEL,RUC_LEVEL_DESC,RUC_BIN,POPULATION,MEAN_DENSITY,ADI_STATERNK_MEAN,ADI_STATERNK_MAX,ADI_STATERNK_MIN
001,Adair,Lake Cumberland,21001,4,Cumberland,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",URBAN,19019,12.68,7,9,4
002,Allen,Barren River,21003,4,Two Rivers,3,"Metro - Counties in metro areas of fewer than 250,000 population",METRO,19191,18.233333333333334,6,9,3
003,Anderson,Bluegrass,21005,5,Salt River Trail,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",URBAN,21125,43.3,4,8,1
004,Ballard,Purchase,21007,1,The Lakes,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",RURAL,6125,36.25999999999999,6,10,4
005,Barren,Barren River,21009,4,Two Rivers,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",URBAN,39809,23.400000000000002,6,9,2
006,Bath,Gateway,21011,7,Northeastern,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",RURAL,12008,14.799999999999999,7,10,5
007,Bell,Cumberland Valley,21013,8,Cumberland,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",URBAN,28510,24.677777777777777,9,10,5
008,Boone,Northern Kentucky,21015,6,Northern Bluegrass,1,Metro - Counties in metro areas of 1 million population or more,METRO,122363,195.77142857142857,3,10,1
009,Bourbon,Bluegrass,21017,5,Northern Bluegrass,2,"Metro - Counties in metro areas of 250,000 to 1 million population",METRO,18820,40.5,4,9,1
010,Boyd,FIVCO,21019,7,Northeastern,2,"Metro - Counties in metro areas of 250,000 to 1 million population",METRO,53435,245.3,6,10,1
011,Boyle,Bluegrass,21021,5,Southern Bluegrass,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",URBAN,29293,50.74999999999999,5,10,1
012,Bracken,Buffalo Trace,21023,7,Northeastern,1,Metro - Counties in metro areas of 1 million population or more,METRO,9493,15.849999999999998,6,9,4
013,Breathitt,Kentucky River,21025,8,Eastern Mountain,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",URBAN,12908,10.133333333333335,9,10,6
014,Breckinridge,Lincoln Trail,21027,3,Salt River Trail,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",RURAL,18244,14.083333333333332,6,9,3
015,Bullitt,KIPDA,21029,3,Salt River Trail,1,Metro - Counties in metro areas of 1 million population or more,METRO,58224,103.22,3,7,1
016,Butler,Barren River,21031,4,Two Rivers,3,"Metro - Counties in metro areas of fewer than 250,000 population",METRO,11928,10.366666666666667,7,8,4
017,Caldwell,Pennyrile,21033,1,The Lakes,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",URBAN,12987,11.95,7,8,5
018,Calloway,Purchase,21035,1,The Lakes,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",URBAN,36829,23.96666666666667,5,9,1
019,Campbell,Northern Kentucky,21037,6,Northern Bluegrass,1,Metro - Counties in metro areas of 1 million population or more,METRO,90299,982.22,4,10,1
020,Carlisle,Purchase,21039,1,The Lakes,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",RURAL,4995,11.399999999999999,8,9,5
021,Carroll,Northern Kentucky,21041,3,Northern Bluegrass,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",URBAN,8730,40.2,6,8,3
022,Carter,FIVCO,21043,7,Northeastern,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",URBAN,28588,33.12,7,10,4
023,Casey,Lake Cumberland,21045,4,Cumberland,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",RURAL,12415,14.06,8,10,5
024,Christian,Pennyrile,21047,2,The Lakes,2,"Metro - Counties in metro areas of 250,000 to 1 million population",METRO,80669,80.14444444444443,6,10,2
025,Clark,Bluegrass,21049,5,Southern Bluegrass,2,"Metro - Counties in metro areas of 250,000 to 1 million population",METRO,35262,56.9,5,9,1
026,Clay,Cumberland Valley,21051,8,Cumberland,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",URBAN,21711,20.65,9,10,7
027,Clinton,Lake Cumberland,21053,4,Cumberland,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",RURAL,10346,17.15,9,10,8
028,Crittenden,Pennyrile,21055,1,The Lakes,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",URBAN,8450,10.95,7,9,4
029,Cumberland,Lake Cumberland,21057,4,Cumberland,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",RURAL,6558,8.5,7,10,4
030,Daviess,Green River,21059,2,Two Rivers,3,"Metro - Counties in metro areas of fewer than 250,000 population",METRO,98285,255.9285714285714,5,10,1
031,Edmonson,Barren River,21061,4,Two Rivers,3,"Metro - Counties in metro areas of fewer than 250,000 population",METRO,7155,18.54,7,8,6
032,Elliott,FIVCO,21063,7,Northeastern,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",RURAL,5775,12.05,9,10,7
033,Estill,Bluegrass,21065,5,Southern Bluegrass,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",URBAN,14740,18.45,9,10,8
034,Fayette,Bluegrass,21067,5,Southern Bluegrass,2,"Metro - Counties in metro areas of 250,000 to 1 million population",METRO,296965,1786.4533333333334,4,10,1
035,Fleming,Buffalo Trace,21069,7,Northeastern,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",URBAN,14785,14.825,7,9,3
036,Floyd,Big Sandy,21071,8,Eastern Mountain,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",URBAN,40541,53.746875,8,10,4
037,Franklin,Bluegrass,21073,5,Salt River Trail,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",URBAN,50028,297.65,4,10,1
038,Fulton,Purchase,21075,1,The Lakes,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",RURAL,7883,13.5,9,10,6
039,Gallatin,Northern Kentucky,21077,6,Northern Bluegrass,1,Metro - Counties in metro areas of 1 million population or more,METRO,7725,33.3,5,5,4
040,Garrard,Bluegrass,21079,5,Southern Bluegrass,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",URBAN,14096,34.3,5,8,3
041,Grant,Northern Kentucky,21081,6,Northern Bluegrass,1,Metro - Counties in metro areas of 1 million population or more,METRO,27757,36.78,5,8,2
042,Graves,Purchase,21083,1,The Lakes,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",URBAN,39146,22.454545454545453,6,10,3
043,Grayson,Lincoln Trail,21085,3,Salt River Trail,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",URBAN,28072,16.3,6,8,3
044,Green,Lake Cumberland,21087,4,Cumberland,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",RURAL,10381,13.633333333333333,8,10,3
045,Greenup,FIVCO,21089,7,Northeastern,2,"Metro - Counties in metro areas of 250,000 to 1 million population",METRO,34087,206.4714285714286,6,10,1
046,Hancock,Green River,21091,2,Two Rivers,3,"Metro - Counties in metro areas of fewer than 250,000 population",METRO,8661,19.15,5,8,2
047,Hardin,Lincoln Trail,21093,3,Salt River Trail,3,"Metro - Counties in metro areas of fewer than 250,000 population",METRO,117019,85.93333333333335,4,10,1
048,Harlan,Cumberland Valley,21095,8,Cumberland,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",URBAN,29505,54.05,9,10,6
049,Harrison,Bluegrass,21097,5,Northern Bluegrass,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",URBAN,18672,20.4,5,10,2
050,Hart,Barren River,21099,4,Two Rivers,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",RURAL,19923,16.314285714285713,7,10,5
051,Henderson,Green River,21101,2,Two Rivers,2,"Metro - Counties in metro areas of 250,000 to 1 million population",METRO,45822,28.22,5,10,2
052,Henry,KIPDA,21103,3,Salt River Trail,1,Metro - Counties in metro areas of 1 million population or more,METRO,17322,114.20909090909093,4,6,2
